Feature,Window,Overlap,Accuracy
mfcc,10,0,0.787
mfcc,10,25,0.7175
mfcc,10,50,0.468
mfcc,10,75,0.2031
mfcc,20,0,0.8138
mfcc,20,25,0.8239
mfcc,20,50,0.7923
mfcc,20,75,0.4577
mfcc,30,0,0.844
mfcc,30,25,0.8083
mfcc,30,50,0.8277
mfcc,30,75,0.6969
mfcc,40,0,0.8453
mfcc,40,25,0.8583
mfcc,40,50,0.8286
mfcc,40,75,0.818
mfcc,50,0,0.8408
mfcc,50,25,0.8486
mfcc,50,50,0.8398
mfcc,50,75,0.8123
mfcc,60,0,0.8545
mfcc,60,25,0.8571
mfcc,60,50,0.8436
mfcc,60,75,0.8299
mfcc,70,0,0.8463
mfcc,70,25,0.8609
mfcc,70,50,0.871
mfcc,70,75,0.855
mfcc,80,0,0.8507
mfcc,80,25,0.8465
mfcc,80,50,0.8628
mfcc,80,75,0.8324
mfcc,90,0,0.8001
mfcc,90,25,0.8486
mfcc,90,50,0.8444
mfcc,90,75,0.8657
mfcc,100,0,0.7862
mfcc,100,25,0.8313
mfcc,100,50,0.8476
mfcc,100,75,0.8465
mel,10,0,0.8292
mel,10,25,0.7574
mel,10,50,0.5227
mel,10,75,0.2242
mel,20,0,0.8328
mel,20,25,0.8524
mel,20,50,0.8465
mel,20,75,0.514
mel,30,0,0.8427
mel,30,25,0.8556
mel,30,50,0.8719
mel,30,75,0.7167
mel,40,0,0.7992
mel,40,25,0.875
mel,40,50,0.8837
mel,40,75,0.8624
mel,50,0,0.8619
mel,50,25,0.8434
mel,50,50,0.8797
mel,50,75,0.8773
mel,60,0,0.8227
mel,60,25,0.8381
mel,60,50,0.8457
mel,60,75,0.8866
mel,70,0,0.8197
mel,70,25,0.8286
mel,70,50,0.8784
mel,70,75,0.8681
mel,80,0,0.7726
mel,80,25,0.898
mel,80,50,0.8507
mel,80,75,0.8611
mel,90,0,0.8092
mel,90,25,0.8809
mel,90,50,0.7889
mel,90,75,0.8396
mel,100,0,0.8187
mel,100,25,0.8364
mel,100,50,0.8773
mel,100,75,0.8438
